__time,/imu/angle,/imu/x,/imu/y,/imu/z
3479418.666520,198.100000000,4944.000000000,-23536.000000000,-7568.000000000
3479418.686705,207.200000000,8736.000000000,-18992.000000000,-6032.000000000
3479418.706359,206.500000000,8384.000000000,-18992.000000000,-6080.000000000
3479418.726168,213.000000000,10224.000000000,-15696.000000000,-5072.000000000
3479418.746360,223.600000000,11920.000000000,-10704.000000000,-3488.000000000
3479418.778619,237.500000000,13216.000000000,-5376.000000000,-1840.000000000
3479418.786074,11.600000000,14608.000000000,4320.000000000,1120.000000000
3479418.806094,19.900000000,14528.000000000,7872.000000000,2592.000000000
3479418.835547,23.500000000,14608.000000000,9664.000000000,3216.000000000
3479418.845909,38.100000000,13632.000000000,18960.000000000,5904.000000000
3479418.866447,47.500000000,11200.000000000,27280.000000000,8336.000000000
3479418.890952,47.700000000,11184.000000000,27616.000000000,8560.000000000
3479418.905701,53.600000000,7936.000000000,32560.000000000,10160.000000000
3479418.925513,60.600000000,2096.000000000,32752.000000000,11584.000000000
3479418.946462,60.200000000,2448.000000000,32752.000000000,11536.000000000
3479418.964855,63.800000000,-448.000000000,32752.000000000,11568.000000000
3479418.985978,68.600000000,-4384.000000000,32752.000000000,11120.000000000
3479419.007657,72.000000000,-7168.000000000,32384.000000000,9776.000000000
3479419.025414,79.200000000,-10768.000000000,25744.000000000,7392.000000000
3479419.045278,83.800000000,-11920.000000000,21280.000000000,6256.000000000
3479419.065493,85.600000000,-12288.000000000,19824.000000000,5792.000000000
3479419.085234,98.300000000,-13552.000000000,11440.000000000,2944.000000000
3479419.107699,115.600000000,-13552.000000000,3760.000000000,208.000000000
3479419.124729,118.900000000,-13632.000000000,2624.000000000,16.000000000
3479419.144756,137.600000000,-13184.000000000,-3712.000000000,-1920.000000000
3479419.164943,160.400000000,-11296.000000000,-12608.000000000,-4496.000000000
3479419.185020,160.600000000,-10992.000000000,-12384.000000000,-4480.000000000
3479419.224392,165.900000000,-10304.000000000,-15296.000000000,-5504.000000000
3479419.224815,173.100000000,-8672.000000000,-19648.000000000,-6432.000000000
3479419.244672,177.400000000,-6960.000000000,-21968.000000000,-7280.000000000
3479419.264509,182.600000000,-4432.000000000,-24576.000000000,-8000.000000000
3479419.284529,185.100000000,-3040.000000000,-25968.000000000,-7920.000000000
3479419.307713,185.900000000,-2528.000000000,-26240.000000000,-7968.000000000
3479419.324465,189.700000000,-48.000000000,-26592.000000000,-8080.000000000
3479419.344480,193.800000000,2512.000000000,-25360.000000000,-7984.000000000
3479419.363651,194.100000000,2704.000000000,-25328.000000000,-8048.000000000
3479419.383594,198.300000000,5072.000000000,-23728.000000000,-7552.000000000
3479419.403778,206.600000000,8512.000000000,-19200.000000000,-6016.000000000
3479419.423719,206.800000000,8576.000000000,-19008.000000000,-6000.000000000
3479419.454944,213.000000000,10000.000000000,-15456.000000000,-5120.000000000
3479419.474394,223.600000000,12048.000000000,-10800.000000000,-3424.000000000
3479419.484008,237.700000000,13344.000000000,-5376.000000000,-1856.000000000
3479419.507651,11.200000000,14784.000000000,4240.000000000,1120.000000000
3479419.524747,19.900000000,14672.000000000,7904.000000000,2512.000000000
3479419.543450,23.300000000,14672.000000000,9616.000000000,3216.000000000
3479419.563421,38.000000000,13696.000000000,18864.000000000,5824.000000000
3479419.583674,47.200000000,11376.000000000,27024.000000000,8288.000000000
3479419.607717,48.200000000,10848.000000000,27824.000000000,8608.000000000
3479419.623366,53.300000000,8160.000000000,32592.000000000,10160.000000000
3479419.643449,60.500000000,2272.000000000,32752.000000000,11536.000000000
3479419.664484,60.400000000,2336.000000000,32752.000000000,11584.000000000
3479419.683246,63.800000000,-432.000000000,32752.000000000,11600.000000000
3479419.703157,68.400000000,-4208.000000000,32752.000000000,10960.000000000
3479419.723322,71.900000000,-7104.000000000,32368.000000000,9808.000000000
3479419.743138,79.200000000,-10736.000000000,25616.000000000,7216.000000000
3479419.762555,83.700000000,-11856.000000000,21376.000000000,6320.000000000
3479419.783532,85.500000000,-12224.000000000,19824.000000000,5792.000000000
3479419.807682,97.700000000,-13552.000000000,11776.000000000,3024.000000000
3479419.825540,116.700000000,-13584.000000000,3392.000000000,224.000000000
3479419.842858,118.500000000,-13648.000000000,2752.000000000,-112.000000000
3479419.862692,137.300000000,-13136.000000000,-3600.000000000,-2016.000000000
3479419.883515,159.600000000,-11376.000000000,-12240.000000000,-4272.000000000
3479419.902154,160.300000000,-11104.000000000,-12368.000000000,-4384.000000000
3479419.922283,166.400000000,-10224.000000000,-15552.000000000,-5552.000000000
3479419.942444,173.000000000,-8640.000000000,-19504.000000000,-6464.000000000
3479419.978022,177.400000000,-7040.000000000,-22224.000000000,-7360.000000000
3479419.982332,182.900000000,-4272.000000000,-24576.000000000,-8064.000000000
3479420.001833,185.000000000,-3072.000000000,-25856.000000000,-7984.000000000
3479420.036546,185.800000000,-2592.000000000,-26144.000000000,-8048.000000000
3479420.042569,189.600000000,-96.000000000,-26416.000000000,-8112.000000000
3479420.061788,193.300000000,2224.000000000,-25392.000000000,-7936.000000000
3479420.095818,193.800000000,2528.000000000,-25440.000000000,-8000.000000000
3479420.107640,198.200000000,5008.000000000,-23616.000000000,-7424.000000000
3479420.121735,206.800000000,8608.000000000,-19152.000000000,-6096.000000000
3479420.155699,206.800000000,8512.000000000,-18928.000000000,-6016.000000000
3479420.161442,212.500000000,10048.000000000,-15872.000000000,-5120.000000000
3479420.181316,223.600000000,12032.000000000,-10800.000000000,-3424.000000000
3479420.213277,237.400000000,13376.000000000,-5488.000000000,-1968.000000000
3479420.222859,10.800000000,14496.000000000,3984.000000000,1040.000000000
3479420.241045,20.300000000,14576.000000000,8032.000000000,2528.000000000
3479420.271740,23.500000000,14640.000000000,9680.000000000,3104.000000000
3479420.280758,37.900000000,13600.000000000,18704.000000000,5904.000000000
3479420.301232,47.000000000,11568.000000000,27072.000000000,8256.000000000
3479420.325953,48.200000000,10832.000000000,27744.000000000,8528.000000000
3479420.341066,53.500000000,8000.000000000,32464.000000000,10240.000000000
3479420.361445,60.300000000,2352.000000000,32752.000000000,11568.000000000
3479420.380337,60.200000000,2480.000000000,32752.000000000,11472.000000000
3479420.407750,63.700000000,-368.000000000,32752.000000000,11504.000000000
3479420.424304,68.500000000,-4320.000000000,32752.000000000,10992.000000000
3479420.440254,71.700000000,-6928.000000000,32752.000000000,9840.000000000
3479420.460633,79.100000000,-10720.000000000,25776.000000000,7408.000000000
3479420.480349,83.700000000,-11952.000000000,21520.000000000,6304.000000000
3479420.507633,85.700000000,-12400.000000000,19856.000000000,5760.000000000
3479420.522635,98.100000000,-13392.000000000,11424.000000000,2976.000000000
3479420.540214,115.400000000,-13584.000000000,3856.000000000,288.000000000
3479420.561472,118.600000000,-13664.000000000,2736.000000000,-80.000000000
3479420.580166,138.800000000,-12848.000000000,-4048.000000000,-2064.000000000
3479420.600387,160.500000000,-11184.000000000,-12592.000000000,-4416.000000000
3479420.620778,160.300000000,-11136.000000000,-12368.000000000,-4352.000000000
3479420.639484,166.200000000,-10256.000000000,-15504.000000000,-5504.000000000
