time [s],magx,magy,magz,step_count,
2.45078,7821,-29897,nan,36,
2.46067,7877,-29857,nan,36,
2.47085,7861,-29864,nan,36,
2.48085,7866,-29902,nan,36,
2.49092,7850,-29870,nan,36,
2.50081,7852,-29875,nan,36,
2.51067,7850,-29872,nan,36,
2.52092,7847,-29861,nan,36,
2.53075,7843,-29872,nan,36,
2.54082,7851,-29867,nan,36,
2.55072,7856,-29879,nan,36,
2.56072,7855,-29884,nan,36,
2.57081,7857,-29870,nan,36,
2.58071,8106,-29854,nan,37,
2.59095,10211,-27301,nan,37,
2.60079,8749,-29195,nan,37,
2.61068,9543,-28234,nan,37,
2.62084,9163,-28668,nan,37,
2.63071,9317,-28507,nan,37,
2.64081,9261,-28578,nan,37,
2.6508,9278,-28562,nan,37,
2.6607,9271,-28546,nan,37,
2.67089,9264,-28558,nan,37,
2.68085,9268,-28568,nan,37,
2.69089,9274,-28571,nan,37,
2.70078,9263,-28564,nan,37,
2.71067,9266,-28567,nan,37,
2.72091,9274,-28555,nan,37,
2.73074,9270,-28575,nan,37,
2.74095,9255,-28563,nan,37,
2.75079,9279,-28559,nan,37,
2.76071,9269,-28564,nan,37,
2.77069,9278,-28559,nan,37,
2.78078,9812,-28034,nan,38,
2.79076,11805,-24721,nan,38,
2.80081,10521,-26920,nan,38,
2.8107,11290,-25319,nan,38,
2.82095,10663,-26389,nan,38,
2.83089,11031,-25753,nan,38,
2.84081,10845,-26056,nan,38,
2.85085,10947,-25938,nan,38,
2.86069,10930,-25953,nan,38,
2.8707,10893,-25980,nan,38,
2.88078,10905,-25952,nan,38,
2.89083,10922,-25957,nan,38,
2.90083,10908,-25958,nan,38,
2.91071,10927,-25967,nan,38,
2.92085,10919,-25951,nan,38,
2.9308,10927,-25949,nan,38,
2.94082,10913,-25948,nan,38,
2.95078,10938,-25958,nan,38,
2.96069,10913,-25978,nan,38,
2.97086,10906,-25965,nan,38,
2.98081,11042,-25904,nan,39,
2.99081,13886,-18808,nan,39,
3.00078,13415,-21290,nan,39,
3.01069,13770,-19524,nan,39,
3.02082,13578,-20011,nan,39,
3.03077,13795,-19320,nan,39,
3.04095,13675,-19741,nan,39,
3.05081,13716,-19604,nan,39,
3.06074,13732,-19566,nan,39,
3.07085,13695,-19611,nan,39,
3.08083,13716,-19618,nan,39,
3.09089,13715,-19606,nan,39,
3.10886,13714,-19614,nan,39,
3.11725,13723,-19598,nan,39,
3.14755,13715,-19604,nan,39,
3.14889,13730,-19609,nan,39,
3.1513,13730,-19619,nan,39,
3.15583,13726,-19612,nan,39,
3.18027,13718,-19621,nan,39,
3.18875,13939,-17122,nan,40,
3.20222,14966,-14289,nan,40,
3.20528,14498,-15891,nan,40,
3.2157,14698,-15023,nan,40,
3.22346,14618,-15905,nan,40,
3.22569,14616,-15754,nan,40,
3.23117,14666,-15546,nan,40,
3.24068,14629,-15720,nan,40,
3.25121,14653,-15610,nan,40,
3.26091,14643,-15635,nan,40,
3.27077,14642,-15664,nan,40,
3.28123,14626,-15647,nan,40,
3.29093,14637,-15650,nan,40,
3.30065,14648,-15656,nan,40,
3.31069,14651,-15644,nan,40,
3.32074,14632,-15657,nan,40,
3.33068,14649,-15656,nan,40,
3.34094,14631,-15666,nan,40,
3.35068,14641,-15643,nan,40,
3.36069,14645,-15644,nan,40,
3.37075,14652,-15655,nan,40,
3.38067,14937,-14453,nan,41,
3.39082,15443,-10623,nan,41,
3.40073,15086,-13733,nan,41,
3.4107,15207,-12078,nan,41,
3.42078,15051,-13158,nan,41,
3.43069,15131,-12650,nan,41,
3.44083,15106,-12803,nan,41,
3.4507,15111,-12859,nan,41,
3.46072,15123,-12791,nan,41,
3.47084,15106,-12834,nan,41,
3.48093,15115,-12834,nan,41,
3.49079,15095,-12802,nan,41,
3.50077,15116,-12840,nan,41,
3.5107,15114,-12826,nan,41,
3.52096,15127,-12824,nan,41,
3.53073,15131,-12829,nan,41,
3.5408,15124,-12821,nan,41,
3.55074,15111,-12826,nan,41,
3.56066,15102,-12839,nan,41,
3.57082,15103,-12826,nan,41,
3.58082,15210,-12585,nan,42,
3.59072,15759,-1523,nan,42,
3.60076,15754,-5920,nan,42,
3.6107,15534,-9247,nan,42,
3.62083,15598,-7903,nan,42,
3.6307,15561,-8307,nan,42,
3.64081,15565,-8329,nan,42,
3.65078,15555,-8185,nan,42,
3.66069,15547,-8311,nan,42,
3.67085,15556,-8291,nan,42,
3.68085,15573,-8242,nan,42,
3.69069,15550,-8277,nan,42,
3.70069,15557,-8286,nan,42,
3.7107,15545,-8264,nan,42,
3.72089,15565,-8260,nan,42,
3.73078,15562,-8285,nan,42,
3.7408,15566,-8270,nan,42,
3.75081,15559,-8266,nan,42,
3.76074,15570,-8284,nan,42,
3.77084,15557,-8266,nan,42,
3.78079,15671,-7675,nan,43,
3.7908,15510,5535,nan,43,
3.80082,15989,-2862,nan,43,
3.81069,15599,3088,nan,43,
3.82085,15789,-673,nan,43,
3.83068,15647,1841,nan,43,
3.84071,15702,587,nan,43,
3.85075,15664,1106,nan,43,
3.8607,15682,941,nan,43,
3.87086,15661,965,nan,43,
3.88137,15675,1017,nan,43,
3.89071,15684,984,nan,43,
3.90081,15687,984,nan,43,
3.91074,15695,986,nan,43,
3.92093,15688,974,nan,43,
3.93069,15668,968,nan,43,
3.94078,15696,991,nan,43,
3.95077,15691,979,nan,43,
3.96074,15692,983,nan,43,
3.97082,15681,983,nan,43,
3.98072,15657,2790,nan,44,
3.99089,15281,7110,nan,44,
4.00085,15613,3427,nan,44,
4.01073,15371,5673,nan,44,
4.0208,15468,4892,nan,44,
4.03071,15434,5153,nan,44,
4.0408,15458,4992,nan,44,
4.05076,15440,5072,nan,44,
4.06073,15433,5050,nan,44,
4.07087,15438,5041,nan,44,
4.08085,15446,5067,nan,44,
4.09081,15442,5049,nan,44,
4.1007,15434,5057,nan,44,
4.11078,15443,5041,nan,44,
4.12069,15433,5055,nan,44,
4.13068,15446,5054,nan,44,
4.14076,15433,5044,nan,44,
4.15077,15443,5056,nan,44,
4.16071,15433,5043,nan,44,
4.17088,15460,5048,nan,44,
4.18074,15440,5486,nan,45,
4.19083,13644,15849,nan,45,
4.20078,14520,11421,nan,45,
4.21071,15056,8124,nan,45,
4.22087,14834,9369,nan,45,
4.23074,14896,8864,nan,45,
4.24082,14896,8871,nan,45,
4.25079,14863,9028,nan,45,
4.2607,14902,8942,nan,45,
4.2708,14905,8886,nan,45,
4.2808,14886,8944,nan,45,
4.29083,14896,8950,nan,45,
4.30076,14883,8914,nan,45,
4.31075,14892,8920,nan,45,
4.32081,14875,8938,nan,45,
4.33082,14893,8942,nan,45,
4.3408,14901,8936,nan,45,
4.35081,14892,8927,nan,45,
4.36071,14901,8928,nan,45,
4.3707,14914,8933,nan,45,
4.38081,14805,9679,nan,46,
4.39076,11715,22004,nan,46,
4.40085,14091,14428,nan,46,
4.41073,12317,18761,nan,46,
4.42085,13386,16535,nan,46,
4.43077,12777,18293,nan,46,
4.44079,13127,17143,nan,46,
4.45078,12999,17586,nan,46,
4.46074,13052,17444,nan,46,
4.47071,13041,17463,nan,46,
4.4807,13032,17500,nan,46,
4.49083,13068,17474,nan,46,
4.50074,13051,17460,nan,46,
4.51071,13056,17476,nan,46,
4.52082,13041,17474,nan,46,
4.53088,13036,17472,nan,46,
4.54224,13032,17475,nan,46,
4.55069,13038,17477,nan,46,
4.56069,13025,17478,nan,46,
4.57087,13052,17469,nan,46,
