time,magx,magy,step_count
2.89077,-3953,32608,77
2.90084,-3969,32608,77
2.9109,-3964,32608,77
2.92072,-3965,32608,77
2.93089,-3955,32608,77
2.94082,-3962,32608,77
2.95093,-3970,32608,77
2.96091,-3968,32608,78
2.9708,-8536,32600,78
2.98088,-8036,32608,78
2.99075,-5657,32608,78
3.00094,-8878,32608,78
3.01084,-8021,32608,78
3.02075,-6807,32608,78
3.03098,-6252,32608,78
3.04082,-6576,32608,78
3.05099,-6401,32608,78
3.06106,-6423,32608,78
3.07079,-6462,32608,78
3.08102,-6433,32608,78
3.09074,-6457,32608,78
3.10103,-6439,32608,78
3.11106,-6435,32608,78
3.12081,-6439,32608,78
3.13091,-6435,32608,78
3.14078,-6440,32608,78
3.15101,-6445,32608,78
3.16099,-6462,32608,79
3.17085,-11761,28694,79
3.18102,-9436,32608,79
3.19084,-11940,28378,79
3.20101,-9269,32487,79
3.21076,-11500,29248,79
3.22081,-9896,31683,79
3.23092,-11152,29864,79
3.2408,-10368,30990,79
3.2509,-10918,30254,79
3.26104,-10638,30675,79
3.27089,-10762,30466,79
3.28106,-10739,30514,79
3.29083,-10705,30534,79
3.30104,-10750,30510,79
3.31105,-10746,30512,79
3.32087,-10734,30529,79
3.33084,-10749,30510,79
3.34083,-10732,30520,79
3.35093,-10733,30513,79
3.36076,-10734,30530,80
3.37081,-13401,25456,80
3.38104,-11464,29535,80
3.39082,-13069,26254,80
3.40114,-11918,28815,80
3.41099,-12508,27680,80
3.42072,-12454,27774,80
3.43089,-12326,27894,80
3.44082,-12422,27879,80
3.45098,-12425,27856,80
3.46094,-12395,27906,80
3.47074,-12419,27870,80
3.48087,-12394,27874,80
3.49086,-12398,27880,80
3.501,-12408,27878,80
3.51093,-12411,27873,80
3.52074,-12410,27879,80
3.53102,-12407,27883,80
3.54092,-12442,27911,80
3.551,-12408,27879,80
3.56091,-12412,27333,81
3.5708,-15341,18282,81
3.58103,-13820,24264,81
3.59079,-14011,23546,81
3.60104,-14934,20404,81
3.6108,-14789,20944,81
3.62078,-14713,20924,81
3.63083,-14869,20595,81
3.64083,-14828,20801,81
3.65093,-14855,20689,81
3.661,-14830,20730,81
3.67079,-14857,20744,81
3.6809,-14850,20708,81
3.69081,-14841,20726,81
3.70095,-14851,20717,81
3.711,-14850,20722,81
3.72087,-14838,20722,81
3.73098,-14851,20730,81
3.74095,-14829,20723,81
3.75103,-14849,20729,81
3.76103,-15067,20139,82
3.77085,-15944,14565,82
3.78082,-15355,18726,82
3.7908,-15831,15586,82
3.80188,-15457,18150,82
3.81088,-15757,16817,82
3.82076,-15595,17270,82
3.83097,-15638,17103,82
3.84091,-15628,17071,82
3.85095,-15608,17222,82
3.86084,-15627,17104,82
3.87076,-15611,17120,82
3.88088,-15613,17159,82
3.89081,-15616,17133,82
3.90097,-15617,17149,82
3.91097,-15606,17134,82
3.92077,-15625,17145,82
3.93097,-15630,17145,82
3.94094,-15631,17140,82
3.95095,-15605,17135,82
3.96102,-15882,15985,83
3.97096,-16339,9162,83
3.98099,-15985,14623,83
3.99087,-16340,9820,83
4.00099,-16072,13480,83
4.011,-16280,10747,83
4.02085,-16184,12431,83
4.031,-16252,11673,83
4.04099,-16224,11885,83
4.05098,-16233,11749,83
4.061,-16207,11858,83
4.07097,-16224,11808,83
4.08097,-16209,11784,83
4.09086,-16226,11801,83
4.10098,-16221,11801,83
4.11101,-16234,11800,83
4.12088,-16239,11798,83
4.13101,-16220,11796,83
4.14103,-16221,11804,83
4.15097,-16228,11798,83
4.16101,-16312,10652,84
4.17086,-16128,454,84
4.18104,-16392,7376,84
4.19095,-16361,6681,84
4.20099,-16287,3518,84
4.21099,-16294,3480,84
4.22095,-16266,3047,84
4.23098,-16304,3454,84
4.24092,-16278,3005,84
4.25098,-16307,3241,84
4.26104,-16298,3251,84
4.27086,-16291,3182,84
4.28097,-16279,3147,84
4.29099,-16286,3192,84
4.30099,-16302,3207,84
4.31103,-16292,3186,84
4.32088,-16280,3190,84
4.33105,-16290,3191,84
4.341,-16298,3193,84
4.35099,-16291,3193,84
4.36101,-16233,1784,85
4.37098,-15759,-3046,85
4.38103,-16181,-660,85
4.39084,-15940,-1816,85
4.40101,-16105,-72,85
4.411,-15952,-1587,85
4.42087,-16057,-523,85
4.43101,-16018,-1085,85
4.44081,-16033,-805,85
4.45095,-16043,-851,85
4.46101,-16036,-927,85
4.4708,-16029,-892,85
4.48092,-16023,-883,85
4.49102,-16014,-893,85
4.50097,-16043,-895,85
4.51098,-16033,-893,85
4.52095,-16029,-883,85
4.53096,-16026,-890,85
4.5408,-16027,-893,85
4.55076,-16038,-889,85
4.561,-15875,-2562,86
4.57081,-15006,-7772,86
4.58084,-15250,-6068,86
4.59086,-15436,-5245,86
4.60089,-15394,-5420,86
4.611,-15362,-5638,86
4.62094,-15458,-5061,86
4.631,-15376,-5576,86
4.6408,-15432,-5428,86
4.65099,-15412,-5301,86
4.66085,-15400,-5414,86
