direction,duty,advance_deg,sample_hz,duration_ms,index,t_ms,angle_turn16,unwrapped_angle,position_turns,rpm,aligned_rpm
1,100,30,250,600,6,24.000,43280,43280,0.000000,0,0
1,100,30,250,600,7,28.000,43280,43280,0.000000,0,0
1,100,30,250,600,8,32.000,43280,43280,0.000000,0,0
1,100,30,250,600,9,36.000,43280,43280,0.000000,0,0
1,100,30,250,600,10,40.000,43280,43280,0.000000,0,0
1,100,30,250,600,11,44.000,43280,43280,0.000000,0,0
1,100,30,250,600,12,48.000,43280,43280,0.000000,0,0
1,100,30,250,600,13,52.000,43280,43280,0.000000,0,0
1,100,30,250,600,14,56.000,43280,43280,0.000000,0,0
1,100,30,250,600,15,60.000,43280,43280,0.000000,0,0
1,100,30,250,600,16,64.000,43280,43280,0.000000,0,0
1,100,30,250,600,17,68.000,43280,43280,0.000000,0,0
1,100,30,250,600,18,72.000,43280,43280,0.000000,0,0
1,100,30,250,600,19,76.000,43280,43280,0.000000,0,0
1,100,30,250,600,20,80.000,43280,43280,0.000000,0,0
1,100,30,250,600,21,84.000,43280,43280,0.000000,0,0
1,100,30,250,600,22,88.000,43280,43280,0.000000,0,0
1,100,30,250,600,23,92.000,43280,43280,0.000000,0,0
1,100,30,250,600,24,96.000,43280,43280,0.000000,0,0
1,100,30,250,600,25,100.000,43280,43280,0.000000,0,0
1,100,30,250,600,26,104.000,43280,43280,0.000000,0,0
1,100,30,250,600,27,108.000,43280,43280,0.000000,0,0
1,100,30,250,600,28,112.000,43280,43280,0.000000,0,0
1,100,30,250,600,29,116.000,43280,43280,0.000000,0,0
1,100,30,250,600,30,120.000,43280,43280,0.000000,0,0
1,100,30,250,600,31,124.000,43280,43280,0.000000,0,0
1,100,30,250,600,32,128.000,43280,43280,0.000000,0,0
1,100,30,250,600,33,132.000,43280,43280,0.000000,0,0
1,100,30,250,600,34,136.000,43280,43280,0.000000,0,0
1,100,30,250,600,35,140.000,43280,43280,0.000000,0,0
1,100,30,250,600,36,144.000,43280,43280,0.000000,0,0
1,100,30,250,600,37,148.000,43280,43280,0.000000,0,0
1,100,30,250,600,38,152.000,43280,43280,0.000000,0,0
1,100,30,250,600,39,156.000,43280,43280,0.000000,0,0
1,100,30,250,600,40,160.000,43280,43280,0.000000,0,0
1,100,30,250,600,41,164.000,43280,43280,0.000000,0,0
1,100,30,250,600,42,168.000,43280,43280,0.000000,0,0
1,100,30,250,600,43,172.000,43280,43280,0.000000,0,0
1,100,30,250,600,44,176.000,43280,43280,0.000000,0,0
1,100,30,250,600,45,180.000,43280,43280,0.000000,0,0
1,100,30,250,600,46,184.000,43280,43280,0.000000,0,0
1,100,30,250,600,47,188.000,43280,43280,0.000000,0,0
1,100,30,250,600,48,192.000,43280,43280,0.000000,0,0
1,100,30,250,600,49,196.000,43280,43280,0.000000,0,0
1,100,30,250,600,50,200.000,43280,43280,0.000000,0,0
1,100,30,250,600,51,204.000,43280,43280,0.000000,0,0
1,100,30,250,600,52,208.000,43280,43280,0.000000,0,0
1,100,30,250,600,53,212.000,43280,43280,0.000000,0,0
1,100,30,250,600,54,216.000,43280,43280,0.000000,0,0
