direction,advance_deg,observer_lead_us,repeat,baseline_duty,pulse_duty,baseline_advance_deg,baseline_ms,pulse_ms,sample_hz,sample_count,missed_count,mct_fault_delta,faults,baseline_rpm,start_rpm,rpm_50ms,rpm_100ms,rpm_150ms,final_rpm,gain_0_50_rpm,gain_0_90_rpm,accel_0_50_rpm_s,accel_0_80_rpm_s,accel_20_120_rpm_s,accel_40_160_rpm_s,ripple_120_220,monotonic_fraction,valid,note
1,90,0,1,100,200,90,700,160,1000,160,0,0,0,1648.8535031847134,2991.7272727272725,4208.0,5070.0,5124.0,4924.95,1793.701298701299,1969.367965367966,43821.99095022623,22676.987353206867,2944.7641234711696,311.4660740329192,0.05923305170458438,1.0,True,
1,90,0,2,100,200,90,700,160,1000,160,0,0,0,1549.1082802547771,2858.090909090909,4286.0,5213.0,4498.0,5102.55,2018.0995670995671,2213.2900432900433,49364.88687782806,25932.904245709124,3634.1176470588234,789.8048475588586,0.06519065243630905,1.0,True,
1,110,0,0,100,200,90,700,160,1000,160,0,0,0,1502.3885350318471,3193.909090909091,4877.0,5584.0,5705.0,5909.95,2521.757575757576,2701.5194805194806,60773.122171945695,31993.54110207768,3938.311007571344,875.9844433641227,0.0515019995103884,1.0,True,
1,110,0,1,100,200,90,700,160,1000,160,0,0,0,2045.2547770700637,3065.3636363636365,5730.0,6151.0,6041.0,5986.45,2739.1125541125543,2898.350649350649,67636.01809954751,34774.096657633236,4773.278974956319,787.7665115633035,0.061741915406758885,1.0,True,
1,110,0,2,100,200,90,700,160,1000,160,0,0,0,1782.5159235668789,2913.909090909091,4692.0,6027.0,5699.0,5927.85,2781.1861471861475,2981.5194805194806,66838.82352941175,35411.94670280036,4597.251019219569,1019.7444266962987,0.055415783013404385,1.0,True,
1,130,0,0,100,200,90,700,160,1000,160,0,0,0,1885.031847133758,3428.2727272727275,6224.0,6508.0,6977.0,6537.65,2863.34632034632,3107.2510822510817,70063.7104072398,36920.43812104787,5985.369831100756,827.8561011181338,0.06862587417894608,1.0,True,
1,130,0,1,100,200,90,700,160,1000,160,0,0,0,1559.1401273885351,3287.0,6555.0,6566.0,6433.0,6473.4,3008.9047619047615,3140.4285714285716,75937.91855203621,39041.0569105691,5547.268491555036,739.3013403708595,0.057502946438113905,1.0,True,
1,130,0,2,100,200,90,700,160,1000,160,0,0,0,2156.9426751592355,3374.2727272727275,7268.0,6457.0,6394.0,6478.6,2898.822510822511,3097.6796536796533,73214.75113122172,38692.43450767841,5801.4210832848,600.8056115007996,0.05572457156514906,1.0,True,
1,150,0,0,100,200,90,700,160,1000,160,0,0,0,2168.8853503184714,3333.6363636363635,7239.0,6348.0,6925.0,6624.3,3060.744588744589,3264.2207792207796,76882.89592760181,40653.56820234869,5574.70005824112,453.7433155080217,0.05853652257479793,1.0,True,
1,150,0,1,100,200,90,700,160,1000,160,0,0,0,1901.56050955414,3395.818181818182,6078.0,6674.0,6993.0,6502.85,2974.8961038961033,3153.0865800865795,73890.67873303167,38231.79765130985,5232.591729761209,367.0081255642755,0.06090855898455997,1.0,True,
1,150,0,2,100,200,90,700,160,1000,160,0,0,0,2027.0063694267517,3117.5454545454545,6899.0,6684.0,6837.0,6570.5,3252.5021645021648,3419.2640692640693,81275.29411764705,42337.55645889792,5597.670355270821,666.8622821029242,0.057093377614336124,1.0,True,
-1,30,0,0,100,200,90,700,160,1000,160,0,0,0,2387.6751592356686,3186.7272727272725,6517.0,6484.0,6221.0,6514.75,3152.7965367965367,3377.510822510823,79334.2986425339,42044.01535682022,5362.3645894001165,438.66587957497075,0.06332917654399234,1.0,True,
-1,30,0,1,100,200,90,700,160,1000,160,0,0,0,2343.7261146496817,3159.4545454545455,6593.0,6340.0,5827.0,6490.2,3178.640692640693,3350.8787878787875,78923.7104072398,40796.567299006325,5524.216656959813,388.8082505729565,0.05805174366332622,1.0,True,
-1,30,0,2,100,200,90,700,160,1000,160,0,0,0,2359.2993630573246,3365.6363636363635,6496.0,6509.0,7320.0,6522.2,2988.268398268398,3136.601731601732,75717.55656108596,39116.26016260163,4933.9429237041395,126.91506354607958,0.0557932937145813,1.0,True,
-1,50,0,0,100,200,90,700,160,1000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,inf,0.0,False,TimeoutError
-1,50,0,1,100,200,90,700,160,1000,160,0,0,0,2943.43949044586,3347.4545454545455,6252.0,5950.0,6399.0,6517.85,2904.2121212121215,3170.974025974026,71040.81447963801,38212.059620596214,5979.0099009901,742.6210153482881,0.0652865683078465,1.0,True,
-1,50,0,2,100,200,90,700,160,1000,160,0,0,0,2081.9426751592355,3413.3636363636365,6333.0,6155.0,6896.0,6661.9,2955.6363636363635,3228.541125541125,74405.33936651584,40279.719963866286,6431.112405358181,1197.6005278144323,0.04981429212233182,1.0,True,
-1,70,0,0,100,200,90,700,160,1000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,inf,0.0,False,TimeoutError
-1,70,0,1,100,200,90,700,160,1000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,inf,0.0,False,TimeoutError
-1,70,0,2,100,200,90,700,160,1000,160,0,0,0,1936.3375796178343,3201.3636363636365,5718.0,6055.0,6655.0,6107.95,2709.255411255411,2955.064935064935,68262.62443438913,36744.89611562784,5340.430984274896,346.68379748593674,0.06336954248954885,1.0,True,
-1,90,0,0,100,200,90,700,160,1000,160,0,0,0,2816.1783439490446,3118.090909090909,5371.0,5314.0,4690.0,5158.4,1867.3852813852818,2053.051948051948,45782.53393665158,24252.03252032521,3593.5701805474664,1190.2180706993552,0.06338755720607978,1.0,True,
-1,90,0,1,100,200,90,700,160,1000,160,0,0,0,1577.4840764331211,3173.5454545454545,5505.0,5662.0,4705.0,5045.6,1857.359307359307,1932.1212121212125,46071.312217194565,22784.688346883464,2031.9627256843328,-447.4616292798113,0.05509412222067209,1.0,True,
-1,90,0,2,100,200,90,700,160,1000,160,0,0,0,2053.566878980892,3094.0,4684.0,5094.0,4557.0,5277.25,2028.0952380952385,2129.0,49749.683257918565,25631.729900632337,4165.847408270237,870.1923744704499,0.06269241061251371,1.0,True,
-1,110,0,0,100,200,90,700,160,1000,160,0,0,0,2043.43949044586,2690.0,4409.0,4106.0,4638.0,4154.25,1347.9523809523807,1390.0476190476193,33102.08144796381,16585.77235772358,1214.5020384391387,735.2906451836938,0.10317359763309511,1.0,True,
-1,110,0,1,100,200,90,700,160,1000,160,0,0,0,2215.605095541401,3005.4545454545455,4390.0,4318.0,4716.0,3994.5,933.212121212121,977.3073593073591,22968.86877828054,12070.05420054201,1652.917880023295,-57.271338287381035,0.07263249203373277,1.0,True,
-1,110,0,2,100,200,90,700,160,1000,160,0,0,0,2464.5859872611463,2787.4545454545455,4145.0,3901.0,4266.0,4057.45,1204.4978354978352,1328.78354978355,27937.828054298647,15081.91056910569,2267.641234711707,43.81901520938966,0.0880681977298766,1.0,True,
-1,130,0,0,100,200,90,700,160,1000,160,0,0,0,2164.2993630573246,2427.090909090909,2614.0,3039.0,2458.0,2512.15,67.81385281385292,121.24242424242448,2148.6877828054294,2415.9214092140924,1796.2725684333134,718.4075283005767,0.1772999176477244,1.0,True,
-1,130,0,1,100,200,90,700,160,1000,160,0,0,0,1683.6305732484077,2273.7272727272725,2677.0,3033.0,2426.0,2448.7,273.60606060606096,282.5108225108229,6025.067873303166,2181.955736224028,770.1688992428657,-245.6420584762831,0.18125496514845565,1.0,True,
-1,130,0,2,100,200,90,700,160,1000,160,0,0,0,2954.4267515923566,2317.2727272727275,2554.0,2925.0,3111.0,2616.7,257.63203463203445,241.67965367965326,7652.036199095021,4559.214092140922,246.34828188701204,258.41030627126884,0.17143737208063975,1.0,True,
-1,150,0,0,100,200,90,700,160,1000,160,0,0,0,1706.56050955414,1735.3636363636363,21.0,13.0,54.0,22.7,-1709.5064935064934,-1709.030303030303,-43316.289592760186,-19947.131887985546,-891.9394292370412,19.98055420515314,0.7299212205167961,0.559748427672956,False,angle_not_monotonic
-1,150,0,1,100,200,90,700,160,1000,160,0,0,0,2044.3949044585988,1862.8181818181818,469.0,40.0,0.0,35.45,-1109.056277056277,-1830.151515151515,-30171.493212669695,-27082.881662149946,-11547.722772277228,-2858.6012917563726,0.6956449308540821,0.6729559748427673,False,angle_not_monotonic
-1,150,0,2,100,200,90,700,160,1000,160,0,0,0,2161.5286624203823,1907.4545454545455,1051.0,9.0,19.0,35.65,-924.1212121212121,-1315.5974025974026,-16466.15384615384,-6882.949412827463,-8469.621432731507,-11292.610597958197,0.5745654999211749,0.7861635220125787,False,angle_not_monotonic
