time_us,time_ms,v_angle,v_vel,v_vbat,v_set_volts,p_position,p_velocity
99394,99.394,1.4062769412994385,41.11711120605469,7.4245452880859375,0.20000000298023224,1.1200000047683716,0.0
101396,101.396,1.488728404045105,41.00225830078125,7.425628662109375,0.20000000298023224,1.1100000143051147,0.0
103397,103.397,1.5776034593582153,43.13554382324219,7.4267730712890625,0.20000000298023224,1.1100000143051147,0.0
105397,105.397,1.6615889072418213,42.229248046875,7.4264984130859375,0.20000000298023224,1.1200000047683716,0.0
107400,107.4,1.748067021369934,42.276519775390625,7.4233856201171875,0.20000000298023224,1.1200000047683716,20.0
109408,109.408,1.8322442770004272,42.434906005859375,7.4232025146484375,0.20000000298023224,1.1100000143051147,0.0
111413,111.413,1.9151750802993774,42.08563232421875,7.4263916015625,0.20000000298023224,1.1100000143051147,0.0
113417,113.417,2.0055840015411377,43.91874694824219,7.4259033203125,0.20000000298023224,1.1200000047683716,0.0
115422,115.422,2.090815782546997,42.71821594238281,7.425140380859375,0.20000000298023224,1.1100000143051147,-10.0
117427,117.427,2.173842668533325,42.28764343261719,7.426300048828125,0.20000000298023224,1.1100000143051147,0.0
119437,119.437,2.2578279972076416,42.2181396484375,7.42474365234375,0.20000000298023224,1.1100000143051147,-10.0
121441,121.441,2.342963933944702,42.38677978515625,7.4241790771484375,0.20000000298023224,1.1100000143051147,0.0
123448,123.448,2.4280998706817627,42.12896728515625,7.4238739013671875,0.20000000298023224,1.1200000047683716,0.0
125455,125.455,2.512181282043457,42.33404541015625,7.42572021484375,0.20000000298023224,1.1200000047683716,0.0
127463,127.463,2.590989589691162,40.73564147949219,7.4246673583984375,0.20000000298023224,1.1100000143051147,0.0
129473,129.473,2.678234577178955,42.54937744140625,7.4221343994140625,0.20000000298023224,1.1100000143051147,0.0
131478,131.478,2.764425277709961,43.151947021484375,7.4215545654296875,0.20000000298023224,1.1100000143051147,10.0
133482,133.482,2.856943368911743,44.56349182128906,7.4269866943359375,0.20000000298023224,1.1100000143051147,10.0
135489,135.489,2.94083309173584,43.1268310546875,7.424072265625,0.20000000298023224,1.1200000047683716,10.0
137499,137.499,3.02376389503479,42.05841064453125,7.4232025146484375,0.20000000298023224,1.1200000047683716,20.0
139507,139.507,3.101325750350952,40.405548095703125,7.4260101318359375,0.20000000298023224,1.1100000143051147,-10.0
141515,141.515,3.1878039836883545,41.5635986328125,7.4250335693359375,0.20000000298023224,1.1100000143051147,10.0
143520,143.52,3.2726521492004395,42.846588134765625,7.4244537353515625,0.20000000298023224,1.1100000143051147,20.0
145524,145.524,3.3642117977142334,44.50941467285156,7.4226226806640625,0.20000000298023224,1.1100000143051147,0.0
147526,147.526,3.4436910152435303,41.375396728515625,7.423492431640625,0.20000000298023224,1.1200000047683716,10.0
149535,149.535,3.5247044563293457,40.8465576171875,7.4240875244140625,0.20000000298023224,1.1100000143051147,0.0
151535,151.535,3.6054301261901855,40.57322692871094,7.426605224609375,0.20000000298023224,1.1200000047683716,10.0
153542,153.542,3.6920042037963867,42.43499755859375,7.4239654541015625,0.20000000298023224,1.1200000047683716,0.0
155546,155.546,3.782796621322632,44.20780944824219,7.425048828125,0.20000000298023224,1.1100000143051147,0.0
157549,157.549,3.8708088397979736,43.554229736328125,7.4265899658203125,0.20000000298023224,1.1200000047683716,-10.0
